"event-id","visible","timestamp","location-long","location-lat","acceleration-raw-x","acceleration-raw-y","acceleration-raw-z","bar:barometric-height","battery-charge-percent","battery-charging-current","external-temperature","gps:hdop","gps:satellite-count","gps-time-to-fix","ground-speed","heading","height-above-msl","import-marked-outlier","gls:light-level","mag:magnetic-field-raw-x","mag:magnetic-field-raw-y","mag:magnetic-field-raw-z","orn:transmission-protocol","tag-voltage","sensor-type","individual-taxon-canonical-name","tag-local-identifier","individual-local-identifier","study-name","ECMWF Interim Full Daily SFC-FC 10 Metre Wind Gust","ECMWF Interim Full Daily SFC-FC Sunshine Duration","ECMWF Interim Full Daily SFC-FC Maximum Temperature at 2 m","ECMWF Interim Full Daily SFC-FC Temperature (2 m above Ground)","ECMWF Interim Full Daily SFC-FC Minimum Temperature at 2 m"
"21322624080","true","2022-02-16 16:38:31.000","12.561928749084473","45.49003601074219","270.0","-10.0","945.0","-27.0","97","0.0","20.0","1.6","7","44.1","0.0","0.0","0.0","false","503.0","-0.536","0.288","-0.387","GPRS","4134.0","gps","Tadorna tadorna","182894","Shelduck1","Shelduck Italy ISPRA MPIAB","NaN","NaN","NaN","NaN","NaN"
"21322624081","true","2022-02-16 16:38:40.000","12.561948776245117","45.490020751953125","68.0","-122.0","1042.0","-27.0","98","0.0","20.0","1.6","7","8.08","0.0","0.0","-2.0","false","529.0","-0.522","0.364","-0.405","GPRS","4140.0","gps","Tadorna tadorna","182894","Shelduck1","Shelduck Italy ISPRA MPIAB","NaN","NaN","NaN","NaN","NaN"
"21322624082","true","2022-02-18 06:16:39.000","12.566068649291992","45.5029296875","52.0","-61.0","1006.0","-36.0","74","0.0","19.0","1.0","7","71.13","0.0","0.0","-6.0","false","551.0","-0.379","0.538","-0.445","GPRS","3995.0","gps","Tadorna tadorna","182894","Shelduck1","Shelduck Italy ISPRA MPIAB","NaN","NaN","NaN","NaN","NaN"
"21322624083","true","2022-02-18 06:16:40.000","12.566073417663574","45.502933502197266","-61.0","-4.0","1001.0","-36.0","74","0.0","19.0","1.0","7","0.99","0.0","0.0","-7.0","false","553.0","-0.434","0.559","-0.43","GPRS","3995.0","gps","Tadorna tadorna","182894","Shelduck1","Shelduck Italy ISPRA MPIAB","NaN","NaN","NaN","NaN","NaN"
"21322624084","true","2022-02-18 06:16:41.000","12.566076278686523","45.502933502197266","87.0","-26.0","1028.0","-36.0","74","0.0","19.0","1.0","7","1.01","0.0","0.0","-7.0","false","564.0","-0.457","0.499","-0.444","GPRS","3995.0","gps","Tadorna tadorna","182894","Shelduck1","Shelduck Italy ISPRA MPIAB","NaN","NaN","NaN","NaN","NaN"
"21322624085","true","2022-02-18 06:16:42.000","12.566080093383789","45.502933502197266","-10.0","27.0","954.0","-36.0","74","0.0","19.0","1.0","7","0.99","0.0","0.0","-7.0","false","557.0","-0.393","0.495","-0.456","GPRS","3992.0","gps","Tadorna tadorna","182894","Shelduck1","Shelduck Italy ISPRA MPIAB","NaN","NaN","NaN","NaN","NaN"
"21322624086","true","2022-02-18 06:16:43.000","12.566080093383789","45.502933502197266","118.0","10.0","996.0","-36.0","74","0.0","19.0","1.0","7","1.01","0.0","0.0","-8.0","false","559.0","-0.456","0.46","-0.463","GPRS","3995.0","gps","Tadorna tadorna","182894","Shelduck1","Shelduck Italy ISPRA MPIAB","NaN","NaN","NaN","NaN","NaN"
"21322624087","true","2022-02-18 06:16:44.000","12.566082000732422","45.502933502197266","-207.0","38.0","938.0","-36.0","73","0.0","19.0","1.0","7","0.99","0.0","0.0","-8.0","false","541.0","-0.547","0.452","-0.422","GPRS","3986.0","gps","Tadorna tadorna","182894","Shelduck1","Shelduck Italy ISPRA MPIAB","NaN","NaN","NaN","NaN","NaN"
"21322624088","true","2022-02-18 06:16:45.000","12.566082954406738","45.5029296875","-150.0","115.0","954.0","-36.0","73","0.0","19.0","1.0","7","1.01","0.0","0.0","-8.0","false","547.0","-0.5","0.449","-0.456","GPRS","3986.0","gps","Tadorna tadorna","182894","Shelduck1","Shelduck Italy ISPRA MPIAB","NaN","NaN","NaN","NaN","NaN"
"21322624089","true","2022-02-18 06:16:46.000","12.566084861755371","45.5029296875","-178.0","220.0","913.0","-36.0","74","0.0","19.0","1.0","7","0.99","0.0","0.0","-8.0","false","554.0","-0.433","0.461","-0.467","GPRS","3995.0","gps","Tadorna tadorna","182894","Shelduck1","Shelduck Italy ISPRA MPIAB","NaN","NaN","NaN","NaN","NaN"
"21322624090","true","2022-02-18 16:41:00.000","12.566033363342285","45.501495361328125","76.0","-13.0","994.0","-30.0","74","0.0","21.0","1.7","5","18.36","0.0","0.0","13.0","false","539.0","-0.305","0.467","-0.434","GPRS","3992.0","gps","Tadorna tadorna","182894","Shelduck1","Shelduck Italy ISPRA MPIAB","NaN","NaN","NaN","NaN","NaN"
"21322624091","true","2022-02-18 16:41:08.000","12.566056251525879","45.50152587890625","169.0","100.0","990.0","-29.0","77","0.0","21.0","1.7","5","7.23","0.0","0.0","13.0","false","551.0","-0.271","0.451","-0.444","GPRS","4011.0","gps","Tadorna tadorna","182894","Shelduck1","Shelduck Italy ISPRA MPIAB","NaN","NaN","NaN","NaN","NaN"
"21322624092","true","2022-02-19 06:10:59.000","12.566764831542969","45.50619888305664","41.0","-105.0","967.0","-23.0","75","0.0","22.0","1.9","5","76.34","0.0","17.0","-5.0","false","371.0","-0.083","0.108","-0.458","GPRS","4000.0","gps","Tadorna tadorna","182894","Shelduck1","Shelduck Italy ISPRA MPIAB","NaN","NaN","NaN","NaN","NaN"
"21322624093","true","2022-02-20 06:10:35.000","12.560843467712402","45.50462341308594","229.0","-297.0","969.0","-52.0","64","0.0","26.0","1.7","8","52.36","0.0","0.0","28.0","false","450.0","-0.351","0.382","-0.468","GPRS","3936.0","gps","Tadorna tadorna","182894","Shelduck1","Shelduck Italy ISPRA MPIAB","NaN","NaN","NaN","NaN","NaN"
